text,condition,severity_level,severity_score,language
کچھ دنوں سے لگتا ہے وقت کم پڑ رہا ہے,Stress,medium,62.5,ur
for some reason i cant take it anymore because i see no reason to live,Depression,high,77.0,en
کچھ دنوں سے لگتا ہے کچھ برا ہونے والا ہے,Anxiety,medium,48.2,ur
in dino bohot thakawat mehsoos hoti hai,Stress,medium,47.7,roman
thori udaasi hai aur aaj mood theek nahi,Depression,low,20.8,roman
recently i get short of breath when nervous,Anxiety,medium,61.4,en
my heart pounds so hard i feel like im dying so i am afraid of everything now,Anxiety,high,73.2,en
مجھے کل کی تھوڑی فکر ہے اور امتحان کی تھوڑی پریشانی ہے,Anxiety,low,26.2,ur
آج کل اب اور برداشت نہیں ہوتا,Stress,high,76.0,ur
work is a bit heavy today and today was quite busy,Stress,low,23.7,en
in dino main bilkul beqaboo ho jata hoon kyunke khauf ki wajah se ghar se nahi nikal sakta,Anxiety,high,87.9,roman
kisi se milne ka dil nahi karta,Depression,medium,53.2,roman
main thora udaas hoon,Depression,low,26.4,roman
these days everything feels dark and hopeless,Depression,high,73.6,en
these days i feel exhausted all the time,Stress,medium,62.0,en
lately everything in my life is falling apart and problems are closing in from every side,Stress,high,82.9,en
اکثر گھبراہٹ میں ہاتھ پاؤں سن ہو جاتے ہیں کیونکہ خوف کی وجہ سے گھر سے نہیں نکل سکتا,Anxiety,high,75.0,ur
often feeling somewhat lonely so today feels grey,Depression,low,20.2,en
har taraf andhera lagta hai,Depression,high,73.2,roman
pata nahi kyun sab kuch ek saath sambhalna mushkil ho raha hai,Stress,medium,51.8,roman
دماغ میں فکریں رکتی ہی نہیں اس لیے ہاتھ کانپنے لگتے ہیں,Anxiety,medium,51.9,ur
aksar ab aur bardasht nahi hota,Depression,high,73.0,roman
مجھے لگتا ہے میں سب کے لیے بوجھ ہوں,Depression,high,75.8,ur
aaj kal mujhe jeene ka koi maqsad nazar nahi aata,Depression,high,82.0,roman
halki si ghabrahat ho rahi hai,Anxiety,low,17.6,roman
sach kahun to thori udaasi hai aur khud ko akela mehsoos kar raha hoon,Depression,low,24.3,roman
کام کی فکر میں نیند خراب رہتی ہے کیونکہ بہت زیادہ تھکاوٹ محسوس ہوتی ہے,Stress,medium,58.8,ur
"in dino bohot thakawat mehsoos hoti hai, ghar aur kaam dono ka dabao hai",Stress,medium,60.7,roman
تھوڑا نروس محسوس کر رہا ہوں,Anxiety,low,25.4,ur
often i cant do this anymore,Stress,high,84.0,en
"i get short of breath when nervous, i feel anxious all the time",Anxiety,medium,47.9,en
main har waqt pareshan rehta hoon kyunke fikron ki wajah se neend nahi aati,Anxiety,medium,62.1,roman
pata nahi kyun ghar aur kaam dono ka dabao hai is liye bohot thakawat mehsoos hoti hai,Stress,medium,58.3,roman
پتا نہیں کیوں دل بہت زور سے دھڑکتا ہے,Anxiety,medium,46.8,ur
کام کی فکر میں نیند خراب رہتی ہے کیونکہ گھر اور کام دونوں کا دباؤ ہے,Stress,medium,48.3,ur
aksar thora dabao mehsoos ho raha hai,Stress,low,19.6,roman
آج موڈ ٹھیک نہیں,Depression,low,31.0,ur
بس تھوڑا نروس محسوس کر رہا ہوں کیونکہ امتحان کی تھوڑی پریشانی ہے,Anxiety,low,22.2,ur
aksar dil itna tez dharakta hai ke lagta hai mar jaunga,Anxiety,high,78.1,roman
i feel like something bad will happen,Anxiety,medium,61.1,en
in dino saans phoolne lagti hai,Anxiety,medium,61.0,roman
i cant sleep at night,Depression,medium,51.4,en
often im at my breaking point,Stress,high,76.6,en
recently i get panic attacks regularly and i am afraid of everything now,Anxiety,high,84.6,en
سچ کہوں تو روزانہ رونے کو دل کرتا ہے,Depression,medium,52.4,ur
for some reason a little worn out from work,Stress,low,21.5,en
these days i dont feel like meeting anyone,Depression,medium,54.1,en
آج کل دل تھوڑا بے چین ہے، ہلکی سی گھبراہٹ ہو رہی ہے,Anxiety,low,19.0,ur
fikron ki wajah se neend nahi aati,Anxiety,medium,59.5,roman
aaj kal deadline qareeb aa rahi hai,Stress,low,22.4,roman
these days i get panic attacks regularly,Anxiety,high,73.7,en
"lagta hai kuch bura hone wala hai, fikron ki wajah se neend nahi aati",Anxiety,medium,54.0,roman
مجھے جینے کا کوئی مقصد نظر نہیں آتا کیونکہ میں اس زندگی سے تھک چکا ہوں,Depression,high,84.1,ur
